stationID,StationName,address
87143,Thorntons,"802 N Broadway St, Lexington, KY 40508"
87143,Thorntons,"802 N Broadway St, Lexington, KY 40508"
87143,Thorntons,"802 N Broadway St, Lexington, KY 40508"
17220,Speedway,"716 N Broadway, Lexington, KY 40508"
87143,Thorntons,"802 N Broadway St, Lexington, KY 40508"
17220,Speedway,"716 N Broadway, Lexington, KY 40508"
15371,Sam's Club,"1063 E New Circle Rd , Lexington, KY 40502"
87143,Thorntons,"802 N Broadway St, Lexington, KY 40508"
17220,Speedway,"716 N Broadway, Lexington, KY 40508"
15371,Sam's Club,"1063 E New Circle Rd , Lexington, KY 40502"
